step,mean_nv,std_nv,q_20_nv,q_40_nv,q_60_nv,q_80_nv,q_100_nv,obs_prop_particle_patch
52,210.32405983429086,142.55236259270941,97.22145578073267,149.13719629052173,208.05322738306037,296.8204911695476,1032.7404888326846,0.9625
53,210.20222396995527,142.51462490594915,98.61105985089674,149.52604723214267,208.63315545583978,297.16862266896396,1037.8665693458277,0.9625
54,210.2687450432074,142.4094675119719,97.84330389296255,148.86455822549593,208.85439649412405,297.6101293410814,1036.41160636729,0.965
55,210.1813253862328,142.53159424279832,96.73511502873622,147.3078177318605,208.31152325972369,296.6866208278655,1033.8855350517788,0.9625
56,210.03533088468686,142.60569870640927,97.40538928423852,147.68804789502042,208.0878617736563,297.9315588177715,1029.7449619658125,0.9625
57,210.13571925782372,142.99195065739053,97.10632627041704,148.36701755306726,208.17006299922733,300.18670226724066,1024.4288734750746,0.9625
58,210.09616553626395,143.26680306100187,96.98258270630801,147.9899598271442,208.3046171587862,299.8219599845073,1018.4092985711535,0.965
59,210.17571880163078,143.8034290511033,97.1767509079266,149.04772476589224,207.20661678699588,299.74827151446334,1012.1681197471908,0.9625
60,210.15582236532896,144.162791940705,96.63063793003478,150.80505904214644,208.50619586825331,301.2537718055075,1006.1575666669121,0.96
61,210.10304283801688,144.45654799355157,96.44821562482811,151.41944931291522,208.09461971598583,299.53456731045645,1000.7527112581795,0.96
62,210.39527709206803,144.93664691307308,96.97335701026225,151.5910553842298,206.71736585093126,301.87291863835793,1002.5914589531878,0.9625
63,210.4050818877989,145.29539844633734,96.99361963302414,152.80760319751883,206.71471121261766,305.53886776267746,1019.0524873725119,0.965
64,210.62954190586333,145.58005607810352,96.39969074782513,152.55250828700727,207.29016369590596,306.71930567506615,1031.8092338167512,0.965
65,210.85365085926907,146.00847990213416,97.38181867405606,153.88203702866355,209.49942012524275,307.646037971574,1041.7777993855418,0.965
66,211.13195627844814,146.3265818931268,99.50787319023529,152.49484554834896,208.0467398996519,307.320902216878,1048.8574062045484,0.96
67,211.1746812177237,146.75225838133514,98.68667733398584,152.80384979665746,207.50516129152635,306.5201766586463,1072.046731109403,0.96
68,211.30458937833984,146.9050011274028,98.45570638818371,153.50451966117905,206.2825270192271,310.39735728916287,1112.1978705821498,0.9625
69,211.5022403253064,147.1086207065364,97.97615833873714,153.50814832321677,207.96915669692314,307.80653562494,1129.2812333407428,0.965
70,211.50664192810248,147.14146021848484,96.04037091384932,153.54580766562847,206.37001260140806,307.38271022328286,1137.1406172246939,0.965
71,211.54819318181657,147.32390010320353,96.22162232452123,153.8129203252244,207.99604723031604,309.3353809546368,1130.0378910637326,0.965
72,211.65073318688545,147.43420186181626,95.51042210233963,153.50478405609337,208.0862406454984,305.7547868790091,1117.6894634257196,0.9675
73,211.82126127442055,147.61724743976777,95.02373523210048,151.79763489440262,207.5108559435271,301.0724118197042,1098.5910143536737,0.965
74,211.97723195596555,147.77261133375367,94.50669542037319,150.90196816612928,207.72535019451,304.9427713675319,1074.293483993309,0.965
75,211.89743809903413,147.74288938626785,93.12823160117374,150.98645293340746,207.9298174469347,305.72778506546894,1072.096821448035,0.965
76,211.9475577751102,147.74724528242814,94.15792704610752,151.01111922519067,207.27726652755314,304.8300452710649,1067.3588984010848,0.965
77,212.06220105966875,147.81147227128068,94.2131742770153,150.75244747754567,207.5120790137282,305.6656616881377,1053.2179416829513,0.9675
78,212.26760704870415,147.67356857550837,93.98131921622443,149.23041340430842,207.60226425657578,306.35664439097314,1038.4123354099686,0.9625
79,212.23734874863496,147.53051271594362,94.70901211764283,150.21073570097585,207.4150509241888,307.63695663588754,1023.2312806142136,0.965
80,212.1418901865566,147.20399564807798,93.65404222693518,151.98611207092478,209.0313808698177,308.87895945706083,1007.8541599679869,0.965
81,212.0820722603273,146.78461533363105,94.0308744811255,151.9837697636053,208.48598942357208,309.79385919818816,992.4108265828157,0.9625
82,212.0068274408484,146.27470155631644,95.17166945069057,152.7032677755689,208.90616449180345,307.63133878652644,977.1028540612721,0.9625
83,211.90612054252503,145.73921932457753,93.97065509996304,153.24817410773747,209.23508725898432,307.7154895846522,962.4085289265324,0.965
84,211.95910760735575,145.44646214078395,94.99207298444223,153.31302748987224,209.84332873168853,306.96836541354884,949.4539754602882,0.9625
85,211.7526636616219,144.87436217413682,95.72767125687179,152.89627031958463,210.11696854589724,306.29225918499213,940.9897358372353,0.96
86,211.82734841755274,144.09499488282955,96.59758481494886,153.9101534528554,210.8826343594871,303.92193284647044,941.192676284277,0.96
87,211.9938998457635,143.70030286009975,96.3348379772055,153.42091622728776,211.21465827902128,306.43825118213414,950.2010416187636,0.9625
88,211.99804259589496,143.3709011615991,96.34100747266608,152.6510386399388,210.4247777416288,307.2071006016635,969.7307067312255,0.965
89,211.9839740925916,142.93515820811538,97.65905334285327,153.35321166180086,211.88462929197942,305.41753907993694,993.7364025889071,0.965
90,211.99988825263696,142.6849448398166,97.86135933874358,153.86824710601084,211.69262769103102,304.5717136845039,1018.4308524306347,0.965
91,212.13141320277387,142.6421989371489,96.1986852506072,152.56703718137896,212.67089321518594,306.1243087088149,1043.3309620585942,0.965
92,212.1253168923132,142.63552558173225,98.10640215833159,152.49084524552956,212.24756180376,305.40502015415285,1068.2524682491965,0.965
93,212.10025167406306,142.5123249776604,97.07774236631023,153.13025337715527,213.18398328658262,303.641762282242,1088.2437111063225,0.96
94,212.09179021751066,142.4679771016364,98.20772319534292,152.3739006086807,212.68738159190707,305.0692399657286,1102.3563213485106,0.96
95,212.08375858789455,142.24802677290094,98.17564612442933,152.98643666578403,213.4884813916845,304.89605559661214,1109.2795013584503,0.9625
96,212.21637064090268,142.09793106133793,98.08298047087247,154.93704260423763,211.73738228905526,305.10260435674775,1108.0109312005454,0.96
97,212.27063872571878,141.7995658852105,97.6604604630054,154.50033267084365,212.3544508862545,303.44812518526817,1099.0167306701699,0.9575
98,212.22732686640248,141.58996828351067,98.671677908908,155.0840926126845,213.1722811962262,306.48928917074545,1082.8772576582573,0.9575
99,212.2165813666717,141.29281930106916,98.6196915211664,154.2785032134271,213.12306099965312,306.1026163426068,1060.2773645751065,0.955
100,212.29468269345654,141.14982507129756,99.51965930960377,154.74706476039108,212.10177258634715,304.97429891088933,1025.1152415215452,0.955
